Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-06-10,1775.3471764963138,1800.281827851599,1774.050525925348,1789.510009765625,1858093,0.0,0.0
2026-06-11,1802.2766099040036,1809.757005351862,1787.8145120381441,1802.9747314453125,1243362,0.0,0.0
2026-06-14,1813.2478071954165,1813.2478071954165,1793.1006580381795,1801.2791748046875,2188933,0.0,0.0
2026-06-15,1803.2740089811539,1805.169066858537,1787.9142392004271,1795.9930419921875,1373638,0.0,0.0
2026-06-16,1809.2583064507962,1818.6337597319334,1797.8880810567034,1815.6416015625,1771990,0.0,0.0
2026-06-17,1812.7491843471719,1825.2165102367674,1807.7622539913339,1820.0301513671875,2054738,0.0,0.0
2026-06-18,1819.2320823323498,1837.8831520198078,1816.1402100514372,1833.4947509765625,2126703,0.0,0.0
2026-06-21,1840.1772827341445,1860.324432467924,1829.2060360620167,1858.030517578125,1588758,0.0,0.0
2026-06-22,1865.1118374483488,1897.4271685009069,1856.33479186575,1863.1170654296875,2812236,0.0,0.0
2026-06-23,1863.1170713805882,1877.1801898068245,1860.025199092032,1869.5003662109375,1406231,0.0,0.0
2026-06-24,1865.11191700582,1882.067479887691,1853.1432843833227,1857.9307861328125,1816438,0.0,0.0
2026-06-25,1857.9307861328125,1857.9307861328125,1857.9307861328125,1857.9307861328125,0,0.0,0.0
2026-06-28,1871.8941861612434,1892.1410499127524,1851.04879337913,1869.8994140625,1655869,0.0,0.0
2026-06-29,1880.0726552668834,1887.952029206841,1854.5395974023631,1857.6314697265625,2352774,0.0,0.0
2026-06-30,1872.9912670511767,1882.4664344219946,1855.3374611095492,1861.32177734375,1230360,0.0,0.0
2026-07-01,1871.096183055101,1877.0804992055969,1863.4163593624537,1866.1092529296875,1485296,0.0,0.0
2026-07-02,1875.0857010730883,1920.0677858283739,1866.7076342286875,1899.8209228515625,2168491,0.0,0.0
2026-07-05,1899.0230030546934,1911.989021457903,1895.0334589306287,1907.800048828125,1213635,0.0,0.0
2026-07-06,1900.5999755859375,1924.9000244140625,1898.5999755859375,1903.4000244140625,2060613,5.0,0.0
2026-07-07,1904.0,1929.5,1875.0999755859375,1888.199951171875,2785926,0.0,0.0
2026-07-08,1889.9000244140625,1952.0,1888.199951171875,1938.699951171875,4446201,0.0,0.0
2026-07-09,1942.800048828125,1953.9000244140625,1926.5999755859375,1935.5,1478172,0.0,0.0
2026-07-12,1925.9000244140625,1933.0999755859375,1911.0,1921.4000244140625,1573176,0.0,0.0
2026-07-13,1910.0,1950.800048828125,1910.0,1942.5999755859375,2822124,0.0,0.0
2026-07-14,1955.0,1962.699951171875,1943.300048828125,1951.5,2283494,0.0,0.0
2026-07-15,1950.0,1957.699951171875,1943.0,1950.0999755859375,1396189,0.0,0.0
2026-07-16,1948.699951171875,1952.5999755859375,1922.5,1932.5999755859375,2475664,0.0,0.0
2026-07-19,1942.0,1958.800048828125,1935.0,1956.4000244140625,1676034,0.0,0.0
2026-07-20,1952.0999755859375,1966.5,1938.199951171875,1961.9000244140625,1412579,0.0,0.0
2026-07-21,1938.0,1951.800048828125,1925.199951171875,1943.0,1718430,0.0,0.0
2026-07-22,1929.0999755859375,1958.5,1926.800048828125,1954.0,2057288,0.0,0.0
2026-07-23,1945.0,1959.800048828125,1934.800048828125,1941.0999755859375,1578929,0.0,0.0
2026-07-26,1948.5,1977.0,1933.0,1973.699951171875,5414380,0.0,0.0
